country,ccode,year,month,dates,elecViolence1,l.elecViolence1,elecViolence2,l.elecViolence2,tae1,nvio1,tae2,nvio2,pcgdp,growth,logIMR,logpredict,SPI,lnpop2,political_violence,gov_democracy,gov_interim,logtenure,dem_duration,regav_dem,regav_pcgdp,regav_IMR,regav_growth,gdpdiff,del_reggdp,del_regten,del_regdem,growthdiff,del_reggrow
India,750,1977,3,3/16/1977,peace,0,peace,0,1,0,1,0,193.0396729,1.155944228,4.820281506,0.001980767,-0.224671724,179.2446899,-0.361005604,1,0,4.912654877,3.420455217,0.943064368,1573.871216,4.051939314,1.103890575,0.122652777,0.043859199,0.161998183,0.082780011,1.047154665,0.042465009
Fiji,950,1977,3,3/19/1977,peace,0,peace,0,1,0,1,0,1306.311646,1.017371774,3.676300764,0.000695671,0.593486528,40.90577698,-0.361005604,0,0,4.369447708,0,0.943064368,1573.871216,4.051939314,1.103890575,0.829999089,0.043859199,0.161998183,0.082780011,0.921623766,0.042465009
Sudan,625,1977,4,4/3/1977,vio,0,peace,0,1,0,1,0,628.663147,1.206531644,4.49758482,0.014065448,-0.449959339,91.66296387,-0.228349626,0,0,4.574710846,0,0.051096787,691.6448364,4.73108564,1.09714492,0.908939242,0.095126741,0.155504853,0.008877236,1.099701285,0.057555534
Gambia,420,1977,4,4/4/1977,peace,0,peace,0,1,0,1,0,637.8188477,1.190455079,4.698660374,0.005272013,-0.150638189,40.33131027,-0.361005604,0,0,4.99721241,0,0.051096787,691.6448364,4.73108564,1.09714492,0.922176838,0.095126741,0.155504853,0.008877236,1.085048199,0.057555534
Belgium,211,1977,4,4/17/1977,peace,0,peace,0,1,0,1,0,8251.666016,1.163453221,2.646174908,0.000467255,-1.134903966,84.50675964,-0.361005604,1,0,3.637586117,4.047427654,2.181144602,6095.584961,2.876539982,1.118886693,1.353711963,0.100514181,-0.002733918,-0.015462431,1.039831161,0.052034158
Indonesia,850,1977,5,5/2/1977,peace,0,peace,0,1,0,1,0,457.0085754,1.199491024,4.527208805,0.00730266,0.05537293,140.6309052,4.945233345,0,0,4.912654877,0,0.821969795,1619.898926,4.013426213,1.101281389,0.282121658,0.092939936,0.11903996,-0.01064016,1.089177608,0.039339013
Sierra Leone,451,1977,5,5/6/1977,vio,1,vio,1,1,0,1,0,337.9635315,1.167410016,5.154447079,0.002054495,-0.227403344,63.91349792,-0.361005604,0,0,4.709530354,0,0.058982389,701.7719116,4.717309198,1.09971155,0.481586009,0.105606914,0.135173693,0.01659039,1.061560154,0.060122166
Israel,666,1977,5,5/17/1977,peace,0,peace,0,1,0,1,0,4687.515625,1.118883133,2.923161507,0.005595176,0.028390804,66.66452789,-0.225306824,1,0,1.098612309,3.401197433,0.345470658,5517.126953,4.274364534,1.102792014,0.849629819,0.100603573,-0.068941087,-0.163007066,1.014591217,-0.018577278
Netherlands,210,1977,5,5/25/1977,peace,0,peace,0,1,0,1,0,9138.526367,1.156594634,2.272125959,0.000313905,-0.800719769,90.88899994,-0.361005604,1,0,3.912023067,4.675939083,2.14376637,5971.33252,2.87476012,1.119438161,1.530399799,0.111440435,0.024726052,0.066639893,1.033192039,0.048149645
Morocco,600,1977,6,6/3/1977,peace,0,peace,0,1,0,1,0,619.3657227,1.12601316,4.64439106,0.004690381,-0.032498892,96.17588806,-0.228349626,0,0,5.288267136,0,0.621788408,5317.074219,4.234716797,1.104409225,0.116486192,0.146512687,-0.043664344,0.112710364,1.019561529,-0.016960066
Turkey,640,1977,6,6/5/1977,vio,1,peace,1,1,1,1,1,1945.581299,1.11866796,4.620059013,0.00164563,-0.183093911,112.9764252,-0.339705974,1,0,0.693147182,2.813410759,0.621788408,5317.074219,4.234716797,1.104409225,0.36591202,0.146512687,-0.043664344,0.112710364,1.012910724,-0.016960066
Turkey,640,1977,6,6/5/1977,vio,1,peace,1,1,1,1,1,1945.581299,1.11866796,4.620059013,0.004093657,-0.183093911,112.9764252,-0.339705974,1,0,3.367295742,2.813410759,0.621788408,5317.074219,4.234716797,1.104409225,0.36591202,0.146512687,-0.043664344,0.112710364,1.012910724,-0.016960066
Ireland,205,1977,6,6/16/1977,peace,0,peace,0,1,0,1,0,3361.259277,1.173822761,2.721295357,0.001212768,-0.228853918,65.56377411,-0.345791578,1,0,3.970291853,4.032764435,2.148754793,5971.33252,2.87476012,1.119438161,0.562899351,0.111440435,0.024634421,0.069556855,1.048582077,0.048149645
